名前,判定基準,ヒント
サービス概要,ヒントボットというサービスの紹介を始めたか。,"・対面で人と話す業務をする人を助けるサービス
・AIがリアルタイムでヒントを出してくれる
・事前に最適な対応を学習させておく"
価格,金額、料金についての話になっているか。,"・利用時間と利用モードによって異なる
・おおよそ、1時間あたり600円程度
・会話をしていない時には自動的にオフになり、必要ない時に手動でオフにすることも可"
